,y,x,image,flux_e,flux
273,1041.9744833 pix,964.131420251 pix,0274,595.3437308850135,531707.0199892567
274,1041.95775484 pix,964.958311606 pix,0275,593.7594842930583,528168.1914349128
275,1042.03813568 pix,964.057517707 pix,0276,582.0158293188928,495630.9031883392
276,1042.0188738 pix,963.932050007 pix,0277,587.5721715961579,510619.81612886454
277,1041.91316735 pix,964.149147307 pix,0278,590.0943402598464,518521.0223979414
278,1042.16450144 pix,964.054360546 pix,0279,588.8877666784716,516875.7454193743
279,1042.20226524 pix,963.883551619 pix,0280,585.1485211110368,503205.272711404
280,1042.83423298 pix,964.039640823 pix,0281,584.9161929381776,502852.41957884526
281,1042.05177713 pix,963.075521047 pix,0282,583.4000826093823,497865.3385638143
282,1041.9603771 pix,962.896737324 pix,0283,580.3756305160741,489342.35752943053
283,1041.97634463 pix,962.225236045 pix,0284,579.3336420719506,482195.036646098
284,1041.17870451 pix,962.802172661 pix,0285,572.9895501455057,461786.8196687248
285,1041.96930764 pix,962.836804468 pix,0286,562.3266024811292,437338.24112857523
286,1041.97550878 pix,962.932818372 pix,0287,569.0233157909192,454926.72829651687
287,1041.88474437 pix,962.168485393 pix,0288,558.5959678561619,431901.9122589335
288,1041.85306488 pix,962.893162984 pix,0289,556.8090504785716,425172.19518636935
289,1041.81830012 pix,962.146607239 pix,0290,557.6564908560135,424419.90738532995
290,1041.14745829 pix,961.866892797 pix,0291,556.5597702344988,424599.49980623624
291,1041.98228626 pix,961.960692992 pix,0292,555.1193537169166,420493.8506261213
292,1042.92626899 pix,962.096751923 pix,0293,554.0340620991954,419244.4941575357
293,1041.82264793 pix,961.140700745 pix,0294,550.098885120018,405382.63545005274
294,1041.92732633 pix,961.238110421 pix,0295,538.5922461621607,376264.08625588065
295,1041.18995571 pix,961.182540758 pix,0296,535.4146040998478,365920.42167156754
296,1041.14976821 pix,961.07268936 pix,0297,548.1947613105765,405726.0026464043
